id,user_id,vehicle_id,rating,comment
1,1,149a2a22-0840-45d0-8ca8-594ed39fe03a,5.0,"Все супер, рекомендую."
2,1,74affd3a-3465-4afd-9abd-0c83ec973bcd,5.0,Буду брать ещё раз!
3,1,11e6afbd-b9d0-427b-96dd-d591e43974c6,2.5,Не дотянула до ожиданий.
4,1,56519941-e9fd-4ce2-a947-4dd2ef911fff,4.5,"Все супер, рекомендую."
5,2,1b87ccb7-f1d5-44e8-9697-3c6ccbd5aac7,5.0,Проблем не было.
6,2,c3ad9d6a-66e8-4327-ad2a-a597264a88cb,4.0,"Все супер, рекомендую."
7,2,2b06527a-c383-4d2e-86a3-5cb5737ba799,3.0,Мало места для багажа.
8,2,57137ec0-abda-4f32-8cd8-005c500d079a,3.0,Мало места для багажа.
9,2,0f960416-f422-4d7f-b5a3-4cb8110c1c24,4.0,Комфортно и недорого.
10,2,e5731498-8e9d-4ccb-80b2-434b15823f54,2.0,Проблемы с надёжностью.
11,3,87d7af40-cc19-4bbf-8bf9-5ee85615f5ed,3.0,Мало места для багажа.
12,3,99fb9506-23e1-4594-ae54-6f80f02f74b8,1.5,Проблемы с надёжностью.
13,3,1fa2dd36-9b86-4c2b-9619-c386f167541b,3.5,Машина в хорошем состоянии.
14,3,f226c9a4-21ac-47b7-a950-0fbe965b2c8b,3.5,"Немного шумновата, но ехать можно."
15,3,8b23dfbe-3ea2-400a-9bed-c132e062246f,3.0,Не дотянула до ожиданий.
16,4,c0e9a6bf-a728-43d5-b4db-f61fdead2bdf,2.5,Не советую.
17,4,144d5c98-d90e-41cc-90cc-299b91c8d5f0,4.0,Мало места для багажа.
18,4,ca4c77cd-05cf-492e-8ba1-e7fe42b52871,2.0,Не дотянула до ожиданий.
19,4,5587a28d-136c-40cd-bca8-6c53c47db93d,4.5,"Все супер, рекомендую."
20,5,30bad3ba-04d2-4e4e-ad64-568d31c71013,3.5,"Немного шумновата, но ехать можно."
21,5,2c533ac8-519c-4e50-aebc-46ee44bd784f,3.0,Комфортно и недорого.
22,6,2f602b9c-1456-4c83-b0a4-c30366c60ce9,3.0,Мало места для багажа.
23,6,2a1a6e81-1d96-45b7-8625-d727efad204e,3.0,Не дотянула до ожиданий.
24,6,ffbea283-db1c-4381-b5bf-2909735d3df2,4.0,Машина в хорошем состоянии.
25,6,5bc66ec4-5543-4c23-a40b-e0490f3d34c5,2.5,Не советую.
26,6,005d849b-2a41-4865-8639-e757c5e08e72,3.0,"Немного шумновата, но ехать можно."
27,7,9baf2474-3fd9-42d5-8c6c-901865ee39a7,3.0,Комфортно и недорого.
28,7,ebb69ea6-da35-4868-a061-8902b5672c9e,3.0,Комфортно и недорого.
29,8,0a0c490d-0b2f-49f0-8343-08f49bc60b7d,5.0,"Все супер, рекомендую."
30,8,a040fd97-d50e-442a-8c74-ad2b98ac5704,3.0,Комфортно и недорого.
31,8,1a720ec6-0c3f-478e-986b-03882ef09f1a,4.0,Буду брать ещё раз!
32,9,522ad27d-4485-4475-8c91-00ec2d0f4a27,5.0,Буду брать ещё раз!
33,9,cdb073ae-1c35-4587-9690-a8467b8e7af5,3.0,"Немного шумновата, но ехать можно."
34,9,3112ed1e-b828-4e62-b01a-f6a43113e36d,4.0,Буду брать ещё раз!
35,9,9c77a167-a74c-4d29-93b3-76781e1e3ec6,3.5,Машина в хорошем состоянии.
36,10,555d261d-6573-4324-be53-4f41e0f30cb0,1.5,Не советую.
37,10,4af4ea4c-555e-4b17-b2b8-bce5da1ec8e2,2.0,Многие недочёты.
38,10,d17af033-9178-4d12-aa51-651bc7608e42,3.0,Машина в хорошем состоянии.
39,11,1a720ec6-0c3f-478e-986b-03882ef09f1a,5.0,Отлично!
40,11,e9736a45-cb6e-4a2b-9e25-0a494b19ced7,4.0,"Все супер, рекомендую."
41,11,d93b0101-5c1f-49eb-8bcd-816aa0ffc331,5.0,Проблем не было.
42,11,30578a47-42cd-4049-9007-2e071890968e,4.0,Проблем не было.
43,11,30b1143d-762a-4e3d-b494-557894d610c2,2.5,Не советую.
44,12,74affd3a-3465-4afd-9abd-0c83ec973bcd,4.0,Буду брать ещё раз!
45,12,3d824105-3eec-4a9e-909a-0e469a425d79,2.0,Многие недочёты.
46,13,9ec5113f-30e4-46ea-9afd-a5284b82360a,5.0,Отлично!
47,13,b779fc6a-fe67-4056-bf62-e8ff045aa46b,4.5,Отлично!
48,13,a81ccddd-4642-4da2-8636-c85e7416fb2d,4.5,"Все супер, рекомендую."
49,14,43dbeb0f-6212-4954-a358-9530e12319eb,3.5,Мало места для багажа.
50,14,08765467-6679-49e9-881b-54c632c9e8ce,5.0,Отлично!
51,14,11c37df7-b990-4a97-aef3-533c41d75156,3.0,Многие недочёты.
52,14,ec92c119-8455-47cc-8b2b-55bb5cedd987,3.5,Комфортно и недорого.
53,14,e4029dba-2abc-4439-a763-6a80da15e783,3.0,Мало места для багажа.
54,15,7b7bb970-1dce-42bf-a1e1-81d685277662,2.5,Многие недочёты.
55,15,9d9129f6-7091-4dd6-9954-77e490cdf45f,5.0,Проблем не было.
56,15,62156eca-7203-408d-b1e2-8b7f82e08e80,5.0,"Все супер, рекомендую."
57,16,e1b49306-1e1e-462d-87d0-4a9c5ff9492a,5.0,Проблем не было.
58,16,b1124832-a481-4a24-8da0-090500a346f1,4.5,Проблем не было.
59,16,5bc66ec4-5543-4c23-a40b-e0490f3d34c5,3.0,Многие недочёты.
60,16,0c735aee-f1e3-4fb2-89a3-6572037abca7,5.0,Проблем не было.
61,16,fe12db5d-9c36-4810-b9be-1629fd07af5e,5.0,Отлично!
62,16,864daf55-6391-4b79-a088-3fe237ec05a0,4.0,Машина в хорошем состоянии.
63,17,ac766acf-9aa0-40c5-90ad-d54ad9b8e238,4.0,Буду брать ещё раз!
64,17,e25071ef-aa4c-41f2-868b-4baee604b639,3.0,Не советую.
65,17,57137ec0-abda-4f32-8cd8-005c500d079a,3.0,Комфортно и недорого.
66,17,150663dd-e705-41aa-8613-871a1a5c1bce,4.0,Проблем не было.
67,17,63c3f0b3-18ef-4563-99a8-c88e4fe27e81,1.0,Проблемы с надёжностью.
68,18,6898b767-8abe-43f7-8b53-a7934f99495d,1.5,Не дотянула до ожиданий.
69,18,dddb5fa8-613d-480d-95bd-c04f7d91b119,3.5,"Немного шумновата, но ехать можно."
70,18,8f043a9b-4158-4b2a-a18e-bb43e632bf78,3.0,Многие недочёты.
71,18,8c5a95fc-3302-4f7d-b1cf-4b10d4824ddc,1.0,Многие недочёты.
72,19,ab1bc5e3-7ea3-4125-a48a-77c6b497ef5e,5.0,"Все супер, рекомендую."
73,19,ac5b40bd-04b4-48f1-b56c-979fa296ba40,5.0,Отлично!
74,19,9ce2b38f-57a0-4543-9e69-1c5d0c84d426,5.0,Буду брать ещё раз!
